k [N/m],c [N·s/m],RMS [m/s^2],T_max,Cumple_RMS,Cumple_T
8000,1000,0.025226031392797398,1.551755300197297,True,False
8000,1200,0.023015643027252553,1.4144962763071276,True,False
8000,1400,0.021296715551009482,1.3213926512347038,True,False
8000,1600,0.019910368073638107,1.2556998425576438,True,False
8000,1800,0.01876090751069676,1.2078741477899748,True,False
8000,2000,0.017788030916702252,1.1719329429830698,True,True
8000,2200,0.01694993487034457,1.1450139053107535,True,True
8000,2400,0.016220630348891235,1.1237281022889196,True,True
8000,2600,0.015576302840180545,1.10624561360244,True,True
8000,2800,0.015001779796162884,1.092628418677307,True,True
8000,3000,0.01448529960089584,1.0811831620143086,True,True
8000,3200,0.01401772250317977,1.0718257600605765,True,True
8000,3400,0.013591790301207739,1.06376405238458,True,True
8000,3600,0.01320164066488887,1.057283267703979,True,True
8000,3800,0.012842512453759494,1.0515187456762074,True,True
8000,4000,0.012510496165741725,1.0466693843444341,True,True
8000,4200,0.012202314026155039,1.0423348992441877,True,True
8000,4400,0.011915249096227086,1.0387283756981176,True,True
8000,4600,0.011646981096630605,1.035543983540248,True,True
8000,4800,0.011395539393820708,1.0326749621529425,True,True
8000,5000,0.011159195909853488,1.0301747188117396,True,True
9000,1000,0.028379111064488104,1.7303439792415485,True,False
9000,1200,0.025892430008860823,1.5462448624757374,True,False
9000,1400,0.02395866916727941,1.4229371600418907,True,False
9000,1600,0.02239915993158366,1.3364817823557038,True,False
9000,1800,0.021106260733029267,1.2735147480447853,True,False
9000,2000,0.020011577116685355,1.2264620173043712,True,False
9000,2200,0.01906924049451865,1.1906011708011397,True,True
9000,2400,0.018247148760863644,1.1626434730149764,True,True
9000,2600,0.01752269828449128,1.1400807064289922,True,True
9000,2800,0.01687671316875246,1.1221501183895515,True,True
9000,3000,0.016295788930952463,1.1070881839634104,True,True
9000,3200,0.015769822746652777,1.0948201635334796,True,True
9000,3400,0.0152906671514655,1.0842874366445778,True,True
9000,3600,0.01485176880909204,1.07563986833125,True,True
9000,3800,0.014447764457451476,1.068087361075182,True,True
9000,4000,0.014074242770421774,1.0617062715811465,True,True
9000,4200,0.01372755127517499,1.0560337191664824,True,True
9000,4400,0.013404592237767493,1.051185870450963,True,True
9000,4600,0.013102783368653292,1.0470138049377766,True,True
9000,4800,0.012819899672203377,1.0432264604471313,True,True
9000,5000,0.012554029880075597,1.0399134091718423,True,True
10000,1000,0.03153216602466392,1.8780003758595065,True,False
10000,1200,0.02876915579146556,1.659857987039294,True,False
10000,1400,0.026620575891128786,1.513081336323203,True,False
10000,1600,0.024887870373168093,1.409574965640053,True,False
10000,1800,0.023451553496713445,1.3340376713576292,True,False
10000,2000,0.022235404027881007,1.2773028666327852,True,False
10000,2200,0.021188703945550103,1.2337131809744784,True,False
10000,2400,0.020274274449793465,1.1997372951416063,True,True
10000,2600,0.01946886713125682,1.1726370234624377,True,True
10000,2800,0.018751407777217812,1.1502842195172047,True,True
10000,3000,0.018106179880231995,1.1322149113224593,True,True
10000,3200,0.017521866260025328,1.1171786008039288,True,True
10000,3400,0.016989517103008,1.104261295106802,True,True
10000,3600,0.01650186985226019,1.0935027810112008,True,True
10000,3800,0.01605299228371993,1.0843082236347337,True,True
10000,4000,0.01563798398288069,1.0763948543086532,True,True
10000,4200,0.015252768428552254,1.069527280772383,True,True
10000,4400,0.014893940038371491,1.0634018439138184,True,True
10000,4600,0.014558587374790983,1.058288044607839,True,True
10000,4800,0.014244265334289534,1.053619625700666,True,True
10000,5000,0.013948846928087158,1.0495121528096045,True,True
11000,1000,0.03468513162819688,1.9829143587229765,True,False
11000,1200,0.031645825311326065,1.7481949230999465,True,False
11000,1400,0.02928241632922141,1.5872974561597364,True,False
11000,1600,0.027376409437638353,1.472317113888234,True,False
11000,1800,0.025796761328380113,1.3873491132915399,True,False
11000,2000,0.02445920782980824,1.3229545474289603,True,False
11000,2200,0.023307509971971334,1.2730858634264093,True,False
11000,2400,0.02230250068499961,1.233988846303668,True,False
11000,2600,0.02141484421276046,1.2026340109692126,True,False
11000,2800,0.02062560855286047,1.1773640349841537,True,True
11000,3000,0.019916405430451232,1.1559453688702346,True,True
11000,3200,0.01927382859833844,1.1382634076043157,True,True
11000,3400,0.018688323047180405,1.123295583456473,True,True
11000,3600,0.018151950137867943,1.1107801758478701,True,True
11000,3800,0.017658198666565768,1.100004665709469,True,True
11000,4000,0.017201703001526906,1.0906419137766035,True,True
11000,4200,0.016777980331770914,1.0824938544735558,True,True
11000,4400,0.016383267998452487,1.0754452752075903,True,True
11000,4600,0.016014394320583762,1.0692975935430165,True,True
11000,4800,0.01566863143585287,1.063788124148692,True,True
11000,5000,0.015343665862805856,1.058973268200831,True,True
12000,1000,0.03783811299108478,2.040430988240331,True,False
